season_id,Season_Year,athlete_id,Full_Name,Nickname,Jersey_Number,Position,Height,Weight,Team_ID,Team_Name,Team_Acronym,played_matches,played_minutes,total_points,lost_points,tried_points,total_points_percentage,two_points,lost_two_points,tried_two_points,total_two_points_percentage,three_points,lost_three_points,tried_three_points,total_three_points_percentage,free_throw_points,lost_free_throw_points,tried_free_throw_points,free_throws_percentage,dunk_points,lost_dunk_points,tried_dunk_points,total_dunk_points_percentage,tap_points,lost_tap_points,tried_tap_points,total_tap_points_percentage,total_rebounds,offensive_rebounds,defensive_rebounds,steals,total_assists,total_throws,tried_throws,correct_throws,wrong_throws,total_throws_percentage,two_points_throws_total,correct_two_points_throws,wrong_two_points_throws,total_two_points_throws_percentage,three_points_throws_total,correct_three_points_throws,wrong_three_points_throws,total_three_points_throws_percentage,total_free_throws,correct_free_throws,wrong_free_throws,total_free_throws_percentage,total_of_dunks,correct_dunks,wrong_dunks,total_of_dunks_percentage,total_of_taps,correct_taps,wrong_taps,total_of_taps_percentage,total_of_rebound_shots,correct_rebound_shots,total_of_rebound_shots_missed,total_of_rebound_shots_percentage,offensive_fouls,disqualifying_fouls,technical_fouls,unsportsmanlike_fouls,commited_fouls,received_fouls,total_fouls,total_of_violations,twenty_four_seconds_violations,eight_seconds_violations,five_seconds_violations,three_seconds_violations,conducting_violations,field_back_violations,interception_violations,out_field_violations,walk_violations,total_of_blocks,total_of_errors,double_double_total,triple_double_total,bench_points,efficiency,plus_minus,turnovers,CREATE_USER,CREATE_TS,UPDATE_USER,UPDATE_TS,League_ID,League_Name
34,2016,81,Anderson Eurípedes Ferreira,Mosso,10,5,2.05,105,16,Minas,MIN,28,833.0833,282,418,700,0.4029,126,140,266,0.4737,123,270,393,313,33,8,41,0.8049,6,0,6,1,0,0,0,NaN,126,24,102,20,38,305,395,227,168,0.5747,133,63,70,0.4737,131,41,270,313,41,33,8,0.8049,3,3,0,1,0,0,0,NaN,0,0,0,NaN,8,0,2,1,68,37,0,6,0,0,0,0,0,0,0,3,3,11,52,1,0,0,257,-138,60,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,85,André de Souza Silva,Andrezão,13,5,2,114,130,Campo Mourão,CMO,13,158.4833,44,69,113,0.3894,22,32,54,0.4074,9,33,42,0.2143,13,4,17,0.7647,2,0,2,1,0,0,0,NaN,27,7,20,3,9,58,69,38,31,0.5507,27,11,16,0.4074,14,3,33,0.2143,17,13,4,0.7647,1,1,0,1,0,0,0,NaN,0,0,0,NaN,2,0,0,1,21,14,0,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0,42,-9,12,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,86,Guilherme Filipin Alves Pereira,Filipin,11,2,1.88,92,54,Mogi,MOG,33,594.6,230,342,572,0.4021,48,44,92,0.5217,123,288,411,0.2993,59,10,69,0.8551,0,0,0,NaN,0,0,0,NaN,55,21,34,14,28,252,348,220,128,0.6322,46,24,22,0.5217,137,41,288,0.2993,69,59,10,0.8551,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,1,0,2,2,74,62,0,4,0,0,0,0,0,0,0,1,3,2,19,0,0,0,182,99,19,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,93,Felipe Taddei,Taddei,9,4,1.9,89,130,Campo Mourão,CMO,33,228.9167,47,102,149,0.3154,12,18,30,0.4,21,81,102,0.2059,14,3,17,0.8235,0,0,0,NaN,0,0,0,NaN,24,5,19,3,17,66,93,54,39,0.5806,15,6,9,0.4,34,7,81,0.2059,17,14,3,0.8235,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,1,0,2,3,33,17,0,2,0,0,0,0,0,1,0,1,0,0,12,0,0,0,40,-41,13,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,96,Cauê Borges dos Santos,Cauê,4,2,1.87,90,14,Franca,FRA,33,508.4667,189,220,409,0.4621,104,100,204,0.5098,33,111,144,0.2292,52,9,61,0.8525,0,0,0,NaN,0,0,0,NaN,59,20,39,24,26,211,248,152,96,0.6129,102,52,50,0.5098,48,11,111,0.2292,61,52,9,0.8525,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,1,0,0,1,41,45,0,4,0,0,0,0,0,0,0,2,2,0,26,0,0,0,176,-17,27,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,97,Cauê Verzola de Freitas,Cauê,8,1,1.92,95,130,Campo Mourão,CMO,32,919.8,238,329,567,0.4198,68,74,142,0.4789,144,243,387,0.3721,26,12,38,0.6842,0,0,0,NaN,0,0,0,NaN,160,15,145,41,134,238,319,189,130,0.5925,71,34,37,0.4789,129,48,243,0.3721,38,26,12,0.6842,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,2,0,2,0,88,58,0,14,0,0,0,0,0,2,0,6,6,17,83,2,0,0,377,-54,83,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,105,Jimmy Dreher de Oliveira,Jimmy,18,2,1.9,91,54,Mogi,MOG,33,955.2333,342,363,705,0.4851,134,102,236,0.5678,159,249,408,0.3897,49,12,61,0.8033,24,0,24,1,0,0,0,NaN,145,48,97,41,57,315,398,252,146,0.6332,118,67,51,0.5678,136,53,249,0.3897,61,49,12,0.8033,12,12,0,1,0,0,0,NaN,0,0,0,NaN,3,0,0,0,83,59,0,2,0,0,0,0,0,0,0,0,2,4,35,0,0,0,408,165,37,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,107,Rafael Ferreira de Sousa,Mineiro,12,3,2.05,108,2,Flamengo,FLA,33,670.4833,212,205,417,0.5084,132,110,242,0.5455,36,75,111,0.3243,44,20,64,0.6875,24,0,24,1,0,0,0,NaN,119,38,81,15,43,222,247,147,100,0.5951,121,66,55,0.5455,37,12,75,0.3243,64,44,20,0.6875,12,12,0,1,0,0,0,NaN,0,0,0,NaN,6,0,1,2,71,55,0,9,0,0,0,0,0,0,0,5,4,12,29,0,0,0,272,70,34,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,119,Cesar Luiz Fabretti Araújo,César,5,5,2.02,109,14,Franca,FRA,32,531.2667,167,229,396,0.4217,46,54,100,0.46,96,168,264,0.3636,25,7,32,0.7813,0,0,0,NaN,0,0,0,NaN,74,20,54,6,19,170,226,136,90,0.6018,50,23,27,0.46,88,32,168,0.3636,32,25,7,0.7813,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,7,0,1,1,65,40,0,6,0,0,0,1,0,0,0,0,5,5,23,0,0,0,158,-5,30,root,2022-07-13 14:40:03.0,root,2022-07-13 14:40:03.0,1,NBB
34,2016,134,José Roberto Nardi Duarte,Betinho,26,2,1.95,95,130,Campo Mourão,CMO,22,661.7167,424,505,929,0.4564,128,194,322,0.3975,147,282,429,0.3427,149,29,178,0.8371,2,0,2,1,0,0,0,NaN,74,3,71,30,75,482,576,356,220,0.6181,161,64,97,0.3975,143,49,282,0.3427,178,149,29,0.8371,1,1,0,1,0,0,0,NaN,0,0,0,NaN,10,0,4,1,69,157,0,9,0,0,0,0,2,1,0,4,2,5,72,0,0,0,316,-21,81,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
34,2016,137,Shamell Jermaine Stallworth,Shamell,8,2,1.95,100,54,Mogi,MOG,33,1086.95,675,596,1271,0.5311,258,186,444,0.5811,276,366,642,0.4299,141,44,185,0.7622,6,0,6,1,0,0,0,NaN,154,25,129,50,119,621,743,484,259,0.6514,222,129,93,0.5811,214,92,366,0.4299,185,141,44,0.7622,3,3,0,1,0,0,0,NaN,0,0,0,NaN,4,0,1,5,79,179,0,18,0,0,0,0,0,1,0,6,11,4,94,0,0,0,649,167,97,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
34,2016,138,Luis Fernando da Silva,Luisinho,21,4,1.83,84,23,L. Sorocabana,LSB,18,224.0833,80,112,192,0.4167,36,38,74,0.4865,33,69,102,0.3235,11,5,16,0.6875,2,0,2,1,0,0,0,NaN,17,6,11,10,16,87,110,63,47,0.5727,37,18,19,0.4865,34,11,69,0.3235,16,11,5,0.6875,1,1,0,1,0,0,0,NaN,0,0,0,NaN,0,0,0,2,24,14,0,3,0,0,0,0,0,0,0,1,2,1,13,0,0,0,64,-13,13,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
34,2016,140,Eduardo Mariano de Oliveira,Edu Mariano,17,2,1.93,95,222,Vitória,VIT,37,658.1333,196,216,412,0.4757,92,62,154,0.5974,84,144,228,0.3684,20,10,30,0.6667,8,0,8,1,0,0,0,NaN,129,32,97,30,64,183,231,142,89,0.6147,77,46,31,0.5974,76,28,144,0.3684,30,20,10,0.6667,4,4,0,1,0,0,0,NaN,0,0,0,NaN,1,0,1,1,55,31,0,5,0,0,0,0,0,0,0,1,4,5,27,0,0,0,308,64,28,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
34,2016,145,Renato Carbonari,Renato,15,3,2.04,113,17,Paulistano,CAP,46,1085.45,407,417,824,0.4939,260,218,478,0.5439,57,171,228,0.25,90,28,118,0.7627,30,0,30,1,0,0,0,NaN,234,98,136,23,50,433,490,296,194,0.6041,239,130,109,0.5439,76,19,171,0.25,118,90,28,0.7627,15,15,0,1,0,0,0,NaN,0,0,0,NaN,19,0,0,0,105,119,0,9,0,0,0,0,0,0,0,4,5,12,62,3,0,0,470,12,81,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
34,2016,146,Guilherme Pereira Deodato,Deodato,1,2,1.92,92,13,Bauru,BAU,45,1101.55,420,575,995,0.4221,174,124,298,0.5839,195,426,621,314,51,25,76,0.6711,16,0,16,1,0,0,0,NaN,127,27,100,35,66,432,574,345,229,601,149,87,62,0.5839,207,65,426,314,76,51,25,0.6711,8,8,0,1,0,0,0,NaN,0,0,0,NaN,4,0,1,1,92,74,0,18,0,0,0,0,1,1,0,12,4,15,61,0,0,0,373,145,65,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
34,2016,147,Alexandro da Silva de Oliveira,Alex,10,5,1.94,102,3,Brasília Antigo,BRA,29,552.4333,162,209,371,0.4367,80,58,138,0.5797,57,141,198,0.2879,25,10,35,0.7143,12,0,12,1,0,0,0,NaN,64,21,43,15,27,170,217,131,86,0.6037,69,40,29,0.5797,66,19,141,0.2879,35,25,10,0.7143,6,6,0,1,0,0,0,NaN,0,0,0,NaN,10,0,0,0,88,40,0,4,0,0,0,0,0,0,0,2,2,4,29,0,0,0,157,61,39,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
34,2016,151,Edwandersson Carvalho,Eddy,33,2,1.94,100,17,Paulistano,CAP,40,681.0167,310,495,805,0.3851,76,82,158,481,201,402,603,0.3333,33,11,44,0.75,10,0,10,1,0,0,0,NaN,88,18,70,15,53,324,458,272,186,0.5939,79,38,41,481,201,67,402,0.3333,44,33,11,0.75,5,5,0,1,0,0,0,NaN,0,0,0,NaN,1,0,0,4,65,40,0,6,0,0,0,0,0,0,0,3,3,3,40,0,0,0,243,6,41,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
34,2016,152,Hélio Vitor Luiz da Costa Lima,Hélio,5,1,1.87,92,239,Vasco da Gama,VAS,33,890.1667,318,367,685,0.4642,148,160,308,0.4805,129,195,324,0.3981,41,12,53,0.7736,0,0,0,NaN,0,0,0,NaN,73,13,60,43,65,315,380,223,157,0.5868,154,74,80,0.4805,108,43,195,0.3981,53,41,12,0.7736,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,4,0,1,3,69,51,0,13,0,0,0,0,2,0,0,1,10,1,62,0,0,0,281,-105,64,root,2022-07-13 14:40:04.0,root,2022-07-13 14:40:04.0,1,NBB
