player_id;player_name;player_nickname;last_team_id;last_team_name;last_team_acronym
11767;Felipe Sandoval Ruivo;Ruivo;17;Paulistano;CAP
11768;João Victor Mamedes Silva;Mamedes;285;São Paulo Futebol Clube;SAO
11769;Aquiles Novo Ferreira;Aquiles;284;Pato Basquete;PAT
11770;Lucas Cauê de Almeida Pereira;L. Cauê;18;Pinheiros;PIN
11771;Danilo Araújo Sena dos Santos;Sena;18;Pinheiros;PIN
11776;Solano Vieira Triches;Solano;130;Campo Mourão;CMO
11778;Arthur Henrique Stela Bernardi;Arthur;267;Botafogo;BOT
11779;Henrique dos Santos Monteiro;Henrique;210;Caxias do Sul;CAX
11780;Bruno José Macedo Ferreira;Bruno;23;L. Sorocabana;LSB
11781;Rubem de Moraes Campagnolo;Rubinho;210;Caxias do Sul;CAX
11783;Rodolfo Cesar Bellato;Dida;210;Caxias do Sul;CAX
11785;Daniel Grigol Três;Daniel;210;Caxias do Sul;CAX
11793;Nestor Ferreira Neto;Nestor;129;Rio Claro;RCB
11795;Jackson Henrique Almeida da Silva;Jackson;267;Botafogo;BOT
11813;João Pedro Lopes Guirro;Guirro;19;São José;SJO
11816;Gabriel Borrego Siqueira Martins;Gabriel;19;São José;SJO
11818;Willians Dias Pereira Junior;Will Jr;54;Mogi;MOG
11822;Jonathan Knudsen Muller;Jonathan;210;Caxias do Sul;CAX
11825;Leonardo Crespo Pereira;Léo;14;Franca;FRA
11828;Lucas Brito de Campos;Brito;13;Bauru;BAU
11836;Bruno Ribeiro Guedes;Bruno;16;Minas;MIN
11860;Felipe Araújo Queiros;Queiroz;16;Minas;MIN
11861;Douglas dos Santos Silva;Douglas Santos;279;Corinthians;COR
11862;José Carlos dos Santos Junior;Junior;222;Vitória;VIT
11865;Fabrício da Silva Verrissimo;Fabrício;267;Botafogo;BOT
11885;Matheus da Silva Pereira Varela;Varela;267;Botafogo;BOT
11895;Danilo Roberto Marques Penteado;Danilo;285;São Paulo Futebol Clube;SAO
11897;Dikembe da Silva André;Dikembe;17;Paulistano;CAP
11911;Nicolas Ronsini Freitas de Almeida;Nicolas Ronsini;278;UNIFACISA;UFC
11912;Gabriel Mendes da Silva;Mendes;13;Bauru;BAU
11913;José Carlos Francisco dos Santos;José Carlos;282;Brasília;BSB
11914;Yago Mateus dos Santos;Yago;17;Paulistano;CAP
11916;Gabriel Crepaldi Volpato Galvanini;Gabriel Jaú;13;Bauru;BAU
11919;Thiago Ribeiro de Souza Cruz;Thiago;18;Pinheiros;PIN
11920;Paulo Augusto Bahia Nunes de Miranda;Paulinho;14;Franca;FRA
11924;Henrique Ristow Reinert;Henrique;268;Joinville / AABJ;JLE
11929;Pedro Alcantara Abbade Aguiar Faria;Pedro;2;Flamengo;FLA
11930;Felipe Braga Alfredo;Braga;222;Vitória;VIT
11939;Gabriel Picirillo dos Santos;Gabriel;2;Flamengo;FLA
11947;Walisson Vinicius Guilherme;W. Guilherme;53;Basq. Cearense;CEA
11952;Rafael Freire Luz;Rafa Luz;14;Franca;FRA
11954;Corderro L. Bennett;Bennett;18;Pinheiros;PIN
11955;Jason Michael Robinson;Robinson;2;Flamengo;FLA
11957;João Paulo Lopes Batista;JP Batista;54;Mogi;MOG
11958;Gabriel Darin Aguirre;Aguirre;19;São José;SJO
11959;Taaj Shane Ridley;Ridley;23;L. Sorocabana;LSB
11960;Christopher Joseph Gradnigo;Gradnigo;130;Campo Mourão;CMO
11961;Victor Dias Ribeiro;Victor;23;L. Sorocabana;LSB
