,cluster,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
24,7,2.3678418748370333,2.5600657883781404,1.386963586872031,0.4457903916266976,1.6746427256293541,0.8214795057496727,0.14246474501763598,0.8506337092897804,0.3590433208113204,0.301826756337211
25,6,0.46403049583634065,1.8936403327431361,2.289251992308767,0.8230558485888366,1.7483900219781738,1.2471343817112397,-0.024637006198979922,0.9087906147152915,0.842341305271387,0.3484855736055367
26,13,0.22393584767738023,2.065541077269023,2.27689972803288,2.0189766903719693,2.4278231668750694,1.1833252772951635,-0.3186510262824615,1.9558639715251265,-0.07993793075074712,0.6167218620597091
27,14,-0.7035074876033831,1.6179949262324593,2.513581738170749,1.7096420604258442,1.934013020606464,1.5848510236367142,0.05026819467359736,1.7209909189762218,0.17950675281686318,0.5078217180099434
28,14,-0.14120439989082773,3.4265525102809953,1.8723308409977468,1.9913711252396284,2.307153493857586,1.3353811633687438,-0.057984282472897414,1.750435785409224,0.07671798767289272,0.7404019227276781
29,1,-1.8400271760612492,1.6626011514203847,2.7122485190937957,2.7957591142912475,2.128404949861114,0.9275316809669523,0.20050303442105324,1.3080474047385133,-0.15136239455086192,0.8007170694250291
30,14,-0.26974250473856287,3.097575421481156,1.985270893373961,1.3467687325128803,2.115666650850447,1.4316299017700227,-0.05599978075819274,1.83685540755827,0.14123574868768493,0.6561542295550907
31,4,1.866220010763472,1.6293937812078665,0.8067630741250802,0.20357945307218997,1.469568564404691,0.5370846010090538,0.6767907091221775,0.36331968511660545,0.21497315317255097,-0.01987650767427961
32,4,2.9388833130186978,1.9866404001843603,0.4902187477514976,0.07428639235674057,1.0826814934867552,0.45090471290393713,0.690833296825678,0.20122843958484118,-0.03864989671341779,0.2450608715912122
33,2,2.5991001105710696,2.731697058516503,0.4389782965330092,0.03525485197678227,1.6363323771180038,1.170440367203276,0.8264051263482383,0.7629982205770826,0.5547734698985998,0.18889260431508606
