season_id,season_year,player_id,player_nickname,teammate_id,teammate_nickname,played_minutes,played_percentage,total_minutes
15,2013,30,Matheus,105,Jimmy,222.66666666666663,0.475800420242886,520.4333333333333
15,2013,30,Matheus,159,Drudi,216.8,0.46326436126642684,520.4333333333333
15,2013,30,Matheus,11333,Brown,203.38333333333333,0.4345952491185583,520.4333333333333
15,2013,30,Matheus,381,Davi,154.60000000000002,0.3303536450728302,520.4333333333333
15,2013,30,Matheus,11334,Nick,140.55,0.3003312083763667,520.4333333333333
15,2013,30,Matheus,57,André Goes,132.75000000000003,0.2836639481463015,520.4333333333333
15,2013,30,Matheus,369,Erick,74.94999999999999,0.16015527618504927,520.4333333333333
15,2013,30,Matheus,1325,Victor,50.233333333333334,0.10734000498593253,520.4333333333333
15,2013,30,Matheus,975,Rômulo,26.116666666666667,0.055806830727590004,520.4333333333333
15,2013,30,Matheus,845,Paranhos,20.46666666666667,0.043733751201965876,520.4333333333333
15,2013,30,Matheus,11287,Sualisson,10.683333333333335,0.022828448306563626,520.4333333333333
15,2013,30,Matheus,11288,Leal,1.3166666666666667,0.0028134905089212572,520.4333333333333
15,2013,31,Arthur,366,Nezinho,550.316666666667,0.8434833699483983,685.8666666666667
15,2013,31,Arthur,78,Giovannoni,515.6666666666667,0.790374495478465,685.8666666666667
15,2013,31,Arthur,11284,Goree,477.9,0.732488632299596,685.8666666666667
15,2013,31,Arthur,11282,Osimani,331.5666666666666,0.5082000715271033,685.8666666666667
